cluster,x.unit,tag_model,tag_serial_number,tag_sensor_type,tag_life,tagger,common_name,total_length_m,life_stage,sex,release_location,project,total_detections,days_at_liberty,days_monitored,days_detected,residency_max,residency_min,residency_ratio,residency_category,consecutive_days,highest_detection_month,artificial_reefs,n_reefs
1,teleost,V9-2X,1561934,None,895,AN,Black Sea Bass,0.367,NA,U,Montauk,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2x,1561935,None,895,MF,Summer Flounder,0.5,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V9-2x,1561936,None,895,AN,Summer Flounder,0.455,NA,U,Shinnecock Bay,Southfork,3,1,121,1,1,0.008264463,0.008264463,Transient,1,9,Shinnecock,1
1,teleost,V9-2X,1561938,None,895,AN,Black Sea Bass,0.41,NA,U,Shinnecock Reef,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561939,None,895,AN,Black Sea Bass,0.315,NA,U,Shinnecock Reef,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561940,None,895,NA,Summer Flounder,0.376,NA,U,Shinnecock Reef,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V9-2X,1561941,None,895,FL,Summer Flounder,0.384,NA,U,Great South Bay,Southfork,5,1,78,1,1,0.012820513,0.012820513,Transient,1,8,Fire Island,1
1,teleost,V9-2x,1561942,None,895,AN,Summer Flounder,0.411,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2x,1561943,None,895,AN,Summer Flounder,0.407,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V13-1X,1561944,None,1825,JQ,Little Skate,0.451,NA,F,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V13-1X,1561945,None,1825,MM,Clearnose Skate,0.594,NA,F,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V13-1X,1561948,None,1825,MM,Clearnose Skate,0.571,NA,M,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V13-1X,1561949,None,1825,NA,Little Skate,0.405,NA,M,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
